ir_1,ir_2,ir_3,ir_4,gesture
106,104,0,26,0
116,111,0,48,0
142,145,0,40,0
141,136,291,42,0
5,0,0,0,0
136,144,0,53,0
124,135,0,67,0
100,68,0,8,0
114,96,0,9,0
132,111,0,15,0
215,205,0,0,0
404,355,0,29,0
0,406,8,0,0
77,96,0,44,0
0,105,0,0,0
128,85,5,0,0
139,96,6,0,0
0,57,0,0,0
126,87,0,0,0
110,80,0,0,0
122,81,0,0,0
123,89,0,5,0
129,89,5,0,0
510,252,0,10,0
262,202,0,15,0
411,323,0,25,0
0,101,0,0,0
0,66,0,0,0
0,65,7,0,0
117,86,3,0,0
91,77,0,19,0
79,81,0,38,0
61,0,0,23,0
91,95,0,39,0
129,127,0,53,0
107,115,0,45,0
118,120,0,48,0
97,96,0,38,0
84,78,0,23,0
99,96,0,33,0
90,92,0,36,0
98,96,0,35,0
99,95,0,34,0
186,184,0,42,0
47,45,0,16,0
66,55,0,15,0
72,56,0,6,0
87,73,0,20,0
93,70,0,19,0
105,95,0,28,0
76,57,0,11,0
0,65,0,19,0
91,78,0,25,0
100,81,0,20,0
81,67,0,19,0
114,85,0,4,0
87,78,0,19,0
78,67,0,7,0
62,39,0,5,0
45,67,0,33,0
65,67,0,25,0
150,107,0,28,0
103,63,0,4,0
76,70,0,30,0
78,78,0,41,0
122,88,0,29,0
130,99,0,38,0
0,62,0,20,0
105,80,0,27,0
100,78,0,25,0
170,167,0,69,0
0,44,18,0,0
110,106,0,34,0
0,0,0,0,0
83,75,0,27,0
97,69,0,9,0
113,94,0,26,0
88,73,0,14,0
0,83,0,30,0
109,87,0,15,0
23,15,0,3,0
15,11,0,0,0
31,26,0,6,0
21,20,0,8,0
0,38,0,0,0
93,82,0,20,0
0,78,0,21,0
70,0,0,0,0
50,62,0,17,0
52,64,0,21,0
95,117,0,0,0
90,0,0,0,0
115,123,0,60,0
112,116,0,58,0
0,22,94,96,1
0,21,70,73,1
0,45,114,126,1
0,42,117,131,1
0,34,111,128,1
0,39,134,141,1
0,41,140,145,1
0,40,142,140,1
0,39,126,130,1
0,38,142,139,1
0,27,0,0,1
0,0,0,0,1
0,0,0,0,1
17,0,105,84,1
23,0,96,70,1
19,0,104,80,1
0,0,69,64,1
0,0,0,0,1
7,0,81,65,1
0,0,0,0,1
0,0,0,0,1
24,0,210,183,1
29,0,186,161,1
6,0,117,100,1
9,0,106,83,1
17,0,101,85,1
3,0,101,86,1
5,0,95,83,1
14,0,114,88,1
43,0,133,87,1
0,17,46,51,1
35,0,79,45,1
16,0,86,71,1
6,0,35,44,1
0,22,78,85,1
0,8,100,89,1
0,0,102,0,1
0,0,80,0,1
5,0,92,0,1
0,0,0,0,1
12,0,126,101,1
0,0,92,72,1
0,43,87,102,1
0,39,91,111,1
0,37,90,105,1
0,29,97,106,1
0,39,134,136,1
18,28,74,37,1
0,0,43,0,1
0,18,29,50,1
39,57,104,101,1
57,67,0,112,1
0,0,0,0,1
0,0,0,0,1
24,0,108,87,1
20,0,142,120,1
6,0,171,167,1
25,0,123,104,1
32,0,118,92,1
18,0,121,104,1
4,0,116,112,1
25,0,135,123,1
21,0,116,99,1
16,0,106,96,1
15,0,78,59,1
0,0,113,84,1
21,0,102,83,1
0,0,96,52,1
13,0,67,34,1
11,0,81,49,1
10,0,53,30,1
0,2,66,56,1
0,2,76,66,1
3,0,85,58,1
3,0,92,72,1
0,43,80,0,1
0,42,92,106,1
0,33,101,87,1
0,16,51,58,1
0,53,127,142,1
0,35,106,97,1
0,19,84,74,1
0,28,89,83,1
0,33,106,99,1
0,54,135,135,1
0,55,135,138,1
0,48,113,110,1
0,0,105,75,1
90,0,174,147,1
31,0,82,56,1
40,0,104,83,1
0,0,120,90,1
25,0,106,80,1
35,0,126,95,1
0,0,109,82,1
18,0,94,74,1
37,0,135,104,1
23,0,93,67,1
27,0,87,63,1
30,0,93,68,1
20,0,130,99,1
21,0,89,71,1
0,26,103,104,1
0,33,125,129,1
0,45,246,247,1
0,48,307,301,1
0,63,425,419,1
20,0,402,345,1
32,0,614,545,1
0,54,430,452,1
0,66,717,743,1
0,0,0,0,1
0,0,0,276,1
0,0,402,405,1
0,0,294,303,1
0,0,276,286,1
0,83,432,467,1
0,19,275,298,1
0,67,321,321,1
0,81,309,346,1
0,57,423,427,1
0,51,479,457,1
0,94,456,476,1
0,71,436,433,1
0,45,315,309,1
0,67,379,389,1
0,39,264,257,1
0,64,385,389,1
0,51,278,279,1
47,0,94,25,2
61,0,76,0,2
72,0,109,22,2
79,0,133,32,2
81,0,136,35,2
74,0,98,3,2
92,0,127,19,2
79,0,95,0,2
116,0,149,8,2
105,0,138,12,2
70,0,89,3,2
247,0,273,13,2
142,11,140,0,2
88,0,98,0,2
100,0,122,6,2
110,0,140,15,2
110,0,125,10,2
174,0,185,6,2
180,0,183,8,2
135,0,178,31,2
107,0,134,18,2
130,36,118,0,2
73,0,100,10,2
0,0,0,0,2
56,7,0,0,2
70,0,91,13,2
67,32,42,0,2
94,44,56,0,2
115,59,62,0,2
123,70,39,0,2
130,64,72,0,2
159,80,108,0,2
178,88,66,0,2
142,59,53,0,2
240,127,87,0,2
195,89,64,0,2
87,30,0,14,2
120,63,0,0,2
94,34,0,0,2
246,103,96,0,2
285,142,15,0,2
158,82,71,0,2
191,74,101,0,2
200,72,148,0,2
215,52,146,0,2
123,2,139,0,2
66,0,111,9,2
117,0,203,32,2
103,0,159,25,2
81,0,151,25,2
65,0,114,15,2
120,0,194,33,2
116,13,126,0,2
123,36,101,0,2
92,0,119,12,2
83,0,142,20,2
96,0,116,8,2
55,0,94,10,2
76,0,127,21,2
64,0,106,18,2
75,0,130,15,2
39,0,87,0,2
75,0,141,24,2
145,0,193,41,2
115,0,176,47,2
160,0,231,35,2
45,0,69,11,2
153,39,144,0,2
207,10,217,0,2
174,18,176,0,2
195,9,223,0,2
88,0,119,3,2
198,40,185,0,2
176,33,173,0,2
160,16,170,0,2
164,13,171,0,2
169,13,179,0,2
113,21,111,0,2
114,11,122,0,2
161,8,172,0,2
136,17,139,0,2
182,20,192,0,2
130,0,187,33,2
190,0,270,50,2
190,0,277,64,2
178,0,265,59,2
215,0,346,104,2
221,0,253,17,2
130,0,142,10,2
214,0,249,43,2
115,0,113,5,2
127,0,153,21,2
138,0,177,37,2
182,0,222,39,2
176,0,181,11,2
112,0,136,16,2
186,0,217,37,2
159,0,186,33,2
110,0,132,11,2
88,0,109,23,2
108,0,132,28,2
151,0,184,41,2
165,0,171,11,2
292,0,287,41,2
213,0,219,30,2
189,0,243,49,2
96,0,108,9,2
86,3,88,0,2
119,0,110,0,2
126,0,141,16,2
182,0,242,43,2
81,0,110,7,2
72,0,93,3,2
105,0,137,21,2
49,0,105,35,2
61,7,59,0,2
67,0,138,41,2
55,0,54,0,2
60,0,120,26,2
136,0,171,30,2
87,0,177,50,2
88,0,97,4,2
119,0,184,52,2
90,0,117,14,2
71,0,107,28,2
99,0,121,10,2
64,0,111,28,2
74,0,85,0,2
65,0,105,25,2
90,0,99,3,2
26,0,66,0,2
76,0,92,6,2
52,974,89,968,2
38,0,43,0,2
67,5,86,0,2
52,0,86,0,2
64,0,108,24,2
65,0,84,2,2
29,0,58,0,2
98,0,133,8,2
76,0,122,23,2
87,0,118,5,2
122,0,137,0,2
88,0,108,16,2
94,0,119,21,2
90,0,114,16,2
75,0,102,20,2
66,0,96,16,2
78,0,119,24,2
90,0,112,13,2
122,0,141,19,2
146,0,156,22,2
88,0,118,29,2
75,0,92,17,2
62,0,93,21,2
105,0,150,40,2
65,0,104,29,2
97,11,81,0,2
110,0,132,20,2
171,47,133,0,2
276,0,285,0,2
250,0,279,23,2
351,40,287,0,2
285,0,361,63,2
361,0,385,8,2
349,0,515,64,2
351,0,357,9,2
342,41,307,0,2
107,0,130,15,2
114,6,101,0,2
125,0,162,29,2
187,0,180,6,2
235,0,250,29,2
212,0,249,46,2
160,0,208,37,2
133,0,171,26,2
158,0,177,15,2
138,0,210,23,2
183,0,254,53,2
503,0,559,52,2
192,0,249,31,2
201,0,314,25,2
227,0,311,33,2
343,37,312,0,2
409,0,481,50,2
224,0,278,12,2
461,45,396,0,2
235,0,233,2,2
9,154,0,131,3
96,204,0,159,3
69,206,0,182,3
90,204,0,166,3
105,216,0,186,3
103,217,0,178,3
92,221,0,187,3
71,172,0,142,3
33,127,0,116,3
61,164,0,137,3
53,155,0,124,3
77,232,0,207,3
107,238,0,209,3
97,276,0,228,3
48,233,0,222,3
108,216,0,172,3
208,410,0,333,3
153,308,0,259,3
55,114,0,90,3
58,141,0,119,3
40,86,0,72,3
28,70,0,55,3
35,90,0,78,3
32,83,0,71,3
42,90,0,78,3
54,87,0,70,3
47,80,0,65,3
55,98,0,82,3
71,134,0,121,3
108,160,0,137,3
59,130,0,117,3
403,492,328,481,3
54,140,0,129,3
53,141,0,125,3
72,179,0,141,3
0,149,77,224,3
0,143,41,325,3
0,136,81,224,3
0,143,93,264,3
0,209,132,250,3
0,62,13,79,3
9,56,0,59,3
37,83,0,60,3
37,75,0,67,3
30,69,0,68,3
0,79,44,117,3
0,111,103,192,3
18,66,0,69,3
17,89,0,92,3
16,71,0,72,3
20,88,0,83,3
37,107,0,97,3
27,81,0,73,3
25,104,0,94,3
34,78,0,74,3
14,82,0,84,3
21,81,0,75,3
28,96,0,88,3
20,75,0,77,3
26,98,0,93,3
30,107,0,102,3
28,90,0,83,3
29,116,0,109,3
26,95,0,89,3
44,144,0,138,3
27,97,0,94,3
21,87,0,85,3
40,125,0,111,3
48,142,0,127,3
32,106,0,102,3
40,127,0,121,3
24,102,0,112,3
50,134,0,142,3
61,216,0,208,3
39,170,0,167,3
0,138,78,237,3
59,145,0,118,3
0,69,38,124,3
0,149,69,252,3
0,118,78,211,3
34,98,0,108,3
32,119,0,147,3
43,148,0,138,3
57,173,0,154,3
50,146,0,131,3
49,145,0,130,3
59,166,0,157,3
26,124,0,129,3
50,148,0,143,3
35,118,0,113,3
42,130,0,123,3
49,141,0,126,3
35,114,0,112,3
47,128,0,108,3
37,118,0,106,3
11,102,0,110,3
235,138,85,248,3
0,236,51,257,3
0,313,102,353,3
0,285,30,276,3
0,141,65,166,3
0,240,0,333,3
0,125,89,229,3
0,171,126,354,3
0,188,0,0,3
0,168,108,363,3
0,154,81,288,3
0,176,231,379,3
3,223,0,335,3
58,251,0,319,3
736,636,0,724,3
44,136,0,156,3
20,130,0,163,3
0,116,48,191,3
2,167,0,202,3
125,207,0,148,3
104,171,0,122,3
112,290,0,190,3
113,323,0,258,3
102,239,0,203,3
80,309,0,185,3
50,162,0,119,3
87,228,0,169,3
78,223,0,181,3
98,210,0,149,3
94,182,0,151,3
